dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,50,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,49,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,48,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,47,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,46,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,45,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,44,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,43,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,42,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
gumbel-iid-n25000-d2-seed42,synthetic,gumbel,iid,approx_knn_only,25000,2,42,False,41,True,1,25000,25000,1250000,0,158,25,17,15,1,1,22.20738935499685,2.9681415840022964
