dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,50,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,49,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,48,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,47,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,46,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,45,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,44,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,43,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,42,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
beta-iid-n1000000-d10-seed42,synthetic,beta,iid,approx_knn_only,1000000,10,42,False,41,True,1,1000000,1000000,50000000,0,1000,3,509,467,1,1,254.91153723199386,134.09233161799784
