dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,50,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,49,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,48,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,47,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,46,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,45,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,44,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,43,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,42,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,41,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,40,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,39,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,38,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,37,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,36,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,35,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,34,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,33,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,32,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,31,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,30,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,29,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,28,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,27,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,26,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,25,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,24,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,23,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,22,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,21,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,20,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,19,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,18,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,17,False,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.12002823000000262
