dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,50,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,49,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,48,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,47,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,46,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,45,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,44,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,43,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,42,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,41,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,40,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,39,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,38,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,37,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,36,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,35,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
von_mises-iid-n5000-d2-seed42,synthetic,von_mises,iid,approx_knn_only,5000,2,42,False,34,True,1,5000,5000,250000,0,70,21,5,5,1,1,18.416993725011707,0.562425774987787
