dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,50,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,49,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,48,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,47,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,46,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,45,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,44,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,43,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,42,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,41,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,40,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,39,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,38,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,37,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,36,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,35,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,34,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,33,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,32,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,31,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,30,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,29,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,28,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,27,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,26,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,25,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,24,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,23,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,22,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,21,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42,False,20,False,307,2840,51,2500000,0,223,0,14649,223,11,22,25.201588028001424,7.156174383999314
