dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,50,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,49,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,48,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,47,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,46,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,45,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,44,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,43,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,42,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
gamma-iid-n10000-d2-seed42,synthetic,gamma,iid,approx_knn_only,10000,2,42,False,41,True,1,10000,10000,500000,0,100,25,13,6,1,1,19.439944628997182,1.1238711219994002
